trial,reward,regret
1,1.730957330907474,3
2,-0.24068954721227342,3
3,3.915613860937648,0
4,2.559838848442766,2
5,4.096374662766763,0
6,4.434698817153082,0
7,4.651862783483163,0
8,3.841900927272977,0
9,3.891120438027722,0
10,4.283994608852636,0
11,4.071224194028686,0
12,3.297123848096875,0
13,3.1640289872725984,0
14,3.13142091128937,0
15,4.626340509403729,0
16,3.4978042068355286,0
17,4.5795375860482155,0
18,2.9413301609693177,0
19,3.1222065868492326,0
20,3.9292706858148003,0
21,4.076297577761819,0
22,3.361651902868064,0
23,4.641162165529421,0
24,4.474284448961273,0
25,3.187297864167567,0
26,3.2406880284338397,0
27,4.450465224821713,0
28,3.3737310617943965,0
29,4.2135353443593475,0
30,3.5672013656325614,0
31,3.897517687743674,0
32,4.298625540661252,0
33,2.971878134088099,0
34,6.59036175576704,0
35,5.866367875930403,0
36,4.456554628858386,0
37,5.00658695747849,0
38,3.7400855466040905,0
39,2.3630727228170314,0
40,4.423237074013367,0
41,1.7888742222757394,0
42,3.512666755848744,0
43,5.93109468217468,0
44,3.1945157496275334,0
45,5.81900022561829,0
46,3.6925870556538736,0
47,2.8722494468190805,0
48,4.531849986818694,0
49,3.4568989345120764,0
50,3.304536526851054,0
51,4.159062078428097,0
52,4.17501815695181,0
53,3.7213570489550363,0
54,4.441259637367514,0
55,3.461045664107496,0
56,3.6677084976841656,0
57,5.4811464062207245,0
58,3.881716596236045,0
59,3.4810146374697455,0
60,3.0588757641283824,0
61,4.060797524130373,0
62,3.7781724807660066,0
63,2.587484788737446,0
64,4.341870919636754,0
65,3.9544877237176137,0
66,3.3169880529882336,0
67,5.50067876077116,0
68,6.295556767447016,0
69,2.7374073231379525,0
70,5.71409592308358,0
71,4.433035367842861,0
72,3.9121243313023952,0
73,5.135646997748049,0
74,5.024773044884822,0
75,4.805608910996756,0
76,5.337062194279382,0
77,3.5248731374179885,0
78,3.2264767283057605,0
79,5.643228478676585,0
80,1.8985277345624114,0
81,3.614006459074019,0
82,4.898932833982176,0
83,3.0620835443117964,0
84,5.744318363282228,0
85,2.1780241454047857,0
86,3.338250554894029,0
87,2.807709109387405,0
88,3.410685995583428,0
89,5.739506112529767,0
90,5.979437901622482,0
91,3.5790257901724942,0
92,3.2852581904090026,0
93,3.5737102067008184,0
94,5.7820016809840435,0
95,4.6004296326909735,0
96,4.457683305766784,0
97,4.480175449918248,0
98,4.311768153323774,0
99,3.816327704263619,0
100,2.5970507025257934,0
101,5.511658820571288,0
102,4.591964742842677,0
103,2.4923547586209547,0
104,3.7445470225140762,0
105,3.3137549911808426,0
106,2.8636994682383583,0
107,5.7369927303732275,0
108,2.95551356525879,0
109,4.445415023240592,0
110,2.2177709001326074,0
111,5.370418896207241,0
112,4.5050504541024505,0
113,2.8536289616776522,0
114,4.164580464724865,0
115,3.4056656046422993,0
116,3.308559898941088,0
117,3.3867510605797033,0
118,5.044506861492158,0
119,4.682167242877719,0
120,5.483720043105478,0
121,3.4328735696873443,0
122,3.2456503282734652,0
123,4.602092260146058,0
124,6.096252121367232,0
125,4.371546406180433,0
126,2.6929968973642744,0
127,4.103833192527317,0
128,4.472046345219951,0
129,2.8142842112194506,0
130,5.87561291666292,0
131,3.783455538372803,0
132,3.9116770338294957,0
133,4.336605775155923,0
134,5.941083481693866,0
135,1.6763446606297148,0
136,3.7411082134219447,0
137,3.8126980827482786,0
138,5.113513198369643,0
139,4.517869659780461,0
140,4.389363122800467,0
141,5.150403845929452,0
142,5.695614973727733,0
143,4.359588612786798,0
144,4.00432448651803,0
145,4.622135371220397,0
146,5.757083570389887,0
147,3.3576375073456703,0
148,5.260190601186482,0
149,4.6231256334187645,0
150,3.5261933072745513,0
151,3.119983917973325,0
152,4.2018040406152934,0
153,4.410657911058843,0
154,2.245297122345796,0
155,3.2315399443860047,0
156,2.5294986033649884,0
157,4.720281093538311,0
158,5.174136349594983,0
159,5.537909865533913,0
160,3.557291600633307,0
161,3.212777339266086,0
162,4.276270334586753,0
163,6.194516877119298,0
164,5.3469108192715575,0
165,3.422527143724037,0
166,5.041277072045187,0
167,4.94813844641293,0
168,4.881891580123636,0
169,3.377519421515043,0
170,3.196838461410547,0
171,5.2851651548143455,0
172,4.275014294022063,0
173,3.4108523481892608,0
174,4.83830203506601,0
175,2.0246045453279007,0
176,2.690350602786083,0
177,2.5326246979863702,0
178,3.671514190803712,0
179,5.455284260312776,0
180,4.856619969838598,0
181,4.834478996028998,0
182,4.628076189532381,0
183,3.0537364584451607,0
184,3.882721128954109,0
185,4.889265366730927,0
186,3.2209819201162633,0
187,2.6362558254976376,0
188,4.5425195596623915,0
189,4.921491272643512,0
190,2.660537032129836,0
191,2.985546575073884,0
192,4.2188822180625865,0
193,4.030649430640443,0
194,1.558681558893808,0
195,3.7836042519658206,0
196,4.285620478160819,0
197,5.45123611579953,0
198,3.7061360126090617,0
199,4.109910845365583,0
200,3.312530402890468,0
201,3.9173914495019257,0
202,4.010778345794717,0
203,4.826498238548763,0
204,1.9778685188797307,0
205,3.990740659035501,0
206,4.379489691215524,0
207,3.9757018419346886,0
208,4.116374964722537,0
209,3.7293128549662384,0
210,3.7622605986489193,0
211,3.8275960990438405,0
212,1.2079518591566853,0
213,3.45449344673483,0
214,2.8846049628828454,0
215,3.794698159025269,0
216,3.460127495938262,0
217,3.907310806456409,0
218,4.323685095509777,0
219,4.79924895039157,0
220,4.186039895844888,0
221,4.710554375078475,0
222,3.276181130180578,0
223,2.6770081475702705,0
224,2.2867863460966373,0
225,2.5478252737738876,0
226,4.92812300537457,0
227,4.117747208555148,0
228,3.8132416019651916,0
229,5.211303060204793,0
230,1.8454343795292645,0
231,4.006066921742863,0
232,4.41062539556333,0
233,2.8149662166403493,0
234,3.0886196911104564,0
235,2.435067180248293,0
236,1.9519531451413892,0
237,2.9145491041463503,0
238,4.566090427794405,0
239,3.2600781205846974,0
240,5.093707036522896,0
241,4.7885325961014695,0
242,4.00917734581128,0
243,3.2100136520524245,0
244,4.546389869613829,0
245,2.615296888141904,0
246,4.564891209991105,0
247,4.348566121489138,0
248,2.625851613147716,0
249,1.463703336824231,0
250,4.775991037158634,0
251,4.7483641421912415,0
252,0.6811754736459563,0
253,3.1148993578484996,0
254,5.065823478533369,0
255,3.404450565588104,0
256,3.7676553363687773,0
257,4.098380671328529,0
258,5.410843073289158,0
259,4.804298981506283,0
260,3.0322921508546745,0
261,3.321183726134848,0
262,4.433300688252676,0
263,3.6132599422932907,0
264,4.815398028682763,0
265,4.666124399424598,0
266,2.7584067361066693,0
267,3.126471205915857,0
